Saido Berahino,WBA,6.2,,Forward,"(NOR-A,LEI-H,MUN-A)","[Game vs. EVE H: 8 pts, Game vs. CRY A: 1 pts, Game vs. SUN H: 9 pts]",50.0,100.0,462,3.95621508893
Pedro Rodríguez Ledesma,CHE,9.1,Knock - Expected back 31 Oct,Midfielder,"(WHU-A,LIV-H,STK-A)","[Game vs. NEW A: 1 pts, Game vs. SOU H: 1 pts, Game vs. AVL H: 3 pts]",100.0,0.0,563,3.92736397638
Scott Dann,CRY,5.1,,Defender,"(LEI-A,MUN-H,LIV-A)","[Game vs. WAT A: 9 pts, Game vs. WBA H: 7 pts, Game vs. WHU H: 1 pts]",100.0,100.0,104,3.89720784945
Joe Hart,MCI,5.7,,Goalkeeper,"(MUN-A,NOR-H,AVL-A)","[Game vs. TOT A: 0 pts, Game vs. NEW H: 3 pts, Game vs. BOU H: 2 pts]",,,205,3.82330420308
Moussa Sissoko,NEW,5.7,,Midfielder,"(SUN-A,STK-H,BOU-A)","[Game vs. CHE H: 2 pts, Game vs. MCI A: 2 pts, Game vs. NOR H: 13 pts]",100.0,100.0,264,3.7953673107
Jesús Navas,MCI,6.4,,Midfielder,"(MUN-A,NOR-H,AVL-A)","[Game vs. TOT A: 1 pts, Game vs. NEW H: 4 pts, Game vs. BOU H: 9 pts]",,,218,3.74160562882
Bafétimbi Gomis,SWA,7.0,,Forward,"(AVL-A,ARS-H,NOR-A)","[Game vs. SOU A: 1 pts, Game vs. TOT H: 2 pts, Game vs. STK H: 2 pts]",100.0,100.0,417,3.73095521933
Theo Walcott,ARS,8.6,,Midfielder,"(EVE-H,SWA-A,TOT-H)","[Game vs. LEI A: 7 pts, Game vs. MUN H: 9 pts, Game vs. WAT A: 3 pts]",,,14,3.71590977417
Manuel Lanzini,WHU,5.3,,Midfielder,"(CHE-H,WAT-A,EVE-H)","[Game vs. NOR H: 2 pts, Game vs. SUN A: 5 pts, Game vs. CRY A: 13 pts]",,,521,3.71127438272
Marc Albrighton,LEI,5.0,,Midfielder,"(CRY-H,WBA-A,WAT-H)","[Game vs. ARS H: 2 pts, Game vs. NOR A: 2 pts, Game vs. SOU A: 2 pts]",,,164,3.6692078569
Bojan Krkic,STK,5.3,,Forward,"(WAT-H,NEW-A,CHE-H)","[Game vs. BOU H: 2 pts, Game vs. AVL A: 1 pts, Game vs. SWA A: 9 pts]",100.0,100.0,372,3.66031782558
James Morrison,WBA,4.9,Ankle injury - 50% chance of playing,Midfielder,"(NOR-A,LEI-H,MUN-A)","[Game vs. EVE H: 5 pts, Game vs. CRY A: 2 pts, Game vs. SUN H: 0 pts]",50.0,50.0,456,3.65130582829
Tim Howard,EVE,5.1,,Goalkeeper,"(ARS-A,SUN-H,WHU-A)","[Game vs. WBA A: 1 pts, Game vs. LIV H: 3 pts, Game vs. MUN H: 2 pts]",,,127,3.63913656629
